,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
67,Fri May 06 13:16:18 +0000 2022,1522565922329923586,Mazi Uche,@UgwunnaEjikem This guy can never get BP. He is too calm,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
68,Thu May 05 20:53:37 +0000 2022,1522318623175491585,Mazi Uche,@_PLICE Where to watch?,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
69,Thu May 05 17:54:09 +0000 2022,1522273458960441345,Mazi Uche,"@Sujodamystique Whalai.
Mostly people wey hate am. Na people wey no pay for am. Them don see am. Like 3x",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
70,Thu May 05 17:39:03 +0000 2022,1522269655926198274,Mazi Uche,@Sujodamystique @ValarMuurghulis I eat 3 a day to. Meet protein needs... 😬😬,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
71,Thu May 05 17:34:55 +0000 2022,1522268617034944512,Mazi Uche,"@Sujodamystique @ValarMuurghulis Eat anything in moderation, that's all",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
72,Thu May 05 09:28:00 +0000 2022,1522146079495630850,Mazi Uche,@MrOdanz @YemajiConcept Let me tag him @UgwunnaEjikem,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
73,Thu May 05 07:18:03 +0000 2022,1522113377006501889,Mazi Uche,@Sujodamystique Those were not his signings and that class of 99 controls man u,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
74,Thu May 05 07:14:07 +0000 2022,1522112389210066944,Mazi Uche,@Chemicalboyy Good morning bastard,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
75,Thu May 05 07:13:30 +0000 2022,1522112231839875072,Mazi Uche,@ChiefCBJ @Wizarab10 Exactly,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
76,Thu May 05 07:13:12 +0000 2022,1522112159370653698,Mazi Uche,@Wizarab10 He strives where chances are created for him,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
77,Thu May 05 07:11:50 +0000 2022,1522111814577831939,Mazi Uche,"@Wizarab10 Madrid won 9 before Ronaldo.
We didn't sign only Ronaldo.
We signed galacticos for the trophy",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
78,Thu May 05 07:10:31 +0000 2022,1522111481533317121,Mazi Uche,"I want a dog 😬.
Golden retriever 😁",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
79,Wed May 04 22:04:12 +0000 2022,1521973998803894275,Mazi Uche,@theDrilonZone I still can't forgive him for that,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
80,Wed May 04 22:01:56 +0000 2022,1521973425769697281,Mazi Uche,"@TobyfromJupiter Real Madrid route to the final: 
PSG, Chelsea, Manchester City. 

Liverpool route to the final: 
I… https://t.co/wQR0ECnfxb",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
